Term,Definition,Section,
analytics,Analytics is the process of using data to make decisions.,1.1,
renters insurance,Renters insurance is an insurance policy that covers the contents of an apartment or house that you are renting.,1.1,
automobile insurance,"An insurance policy that covers damage to your vehicle, damage to other vehicles in the accident, as well as medical expenses of those injured in the accident.",1.1,
casualty insurance,"Causalty insurance is a form of liability insurance providing coverage for negligent acts and omissions. examples include workers compensation, errors and omissions, fidelity, crime, glass, boiler, and various malpractice coverages.",1.1,
commercial insurance,,1.1,
term,The duration of an insurance contract,1.1,
insurance claim,"An insurance claim is the compensation provided by the insurer for incurred hurt, loss, or damage that is covered by the policy.",1.1,
homeowners insurance,Homeowners insurance is an insurance policy that covers the contents and property of a building that is owned by you or a friend.,1.1,
property insurance,"Property insurance is a policy that protects the insured against loss or damage to real or personal property. the cause of loss might be  fire, lightening, business interruption, loss of rents, glass breakage, tornado, windstorm, hail, water damage, explosion, riot, civil commotion, rain, or damage from aircraft or vehicles.",1.1,
non-life,"Non-life insurance is any type of insurance where payments are not based on the death (or survivorship) of a named insured. examples include automobile, homeowners, and so on. also known as property and casualty or general insurance.",1.1,
life Insurance,Life insurance is a contract where the insurer promises to pay upon the death of an insured person. the person being paid is the beneficiary. ,1.1,
personal insurance,Insurance purchased by a person,1.1,
loss adjustment expenses,"Loss adjustment expenses are costs to the insurer that are directly attributable to settling a claims. for example, the cost of an adjuster is someone who assess the claim cost or a lawyer who becomes involve in settling an insurer's legal obligation on a claim",1.2,
unallocated,"Unallocated loss adjustment expenses are costs that can only be indirectly attributed to claim settlement; for example, the cost of an office to support claims staff",1.2,
allocated,"Allocated loss adjustment expenses, sometimes known by the acronym alea, are costs that can be directly attributed to settling a claim; for example, the cost of an adjuster",1.2,
underwriting,Underwriting is the process where the company makes a decision as to whether or not to take on a risk.,1.2,
loss reserving,A loss reserve is an estimate of liability indicating the amount the insurer expects to pay for claims that have not yet been realized. this includes losses incurred but not yet reported (ibnr) and those claims that have been reported claims that haven't been paid (known by the acronym rbns for reported but not settled).,1.2,
risk classification,"Risk classification is the process of grouping policyholders into categories, or classes, where each insured in the class has a risk profile that is similar to others in the class.",1.2,
retrospective premiums,The process of determining the cost of an insurance policy based on the actual loss experience determined as an adjustment to the initial premium payment.,1.2,
claims adjustment,"Claims adjustment is the process of determining coverage, legal liability, and settling claims.",1.2,
claims leakage,Claims leakage respresents money lost through claims management inefficiencies.,1.2,
adjuster,An adjuster is a person who investigates claims and recommends settlement options based on estimates of damage and insurance policies held.,1.2,
dividends,A dividend is the refund of a portion of the premium paid by the insured from insurer surplus.,1.2,
indemnification,Indemnification is the compensation provided by the insurer.,1.3,
rating variables,"Rating variables are the components of an insurance pricing formula. they can include numeric variables (like values, revenue, or area) and classification variables (like location, type of vehicle, or type of occupancy.)",1.3,
Frequency,Count random variables that represent the number of claims,2.1,
Severity,"The amount, or size, of each payment for an insured event",2.1,
probability mass function (pmf) ,A function that gives the probability that a discrete random variable is exactly equal to some value,2.1,
distribution function,"The chance that the random variable is less than or equal to x, as a function of x",2.1,
mean,Average,2.1,
moments,The rth moment of a list is the average value of the random variable raised to the rth power,2.1,
survival function,The probability that the random variable takes on a value greater than a number x,2.1,
moment generating function (mgf),"The mgf of random variable n is defined the expectation of exp(tn), as a function of t",2.2,
probability generating function (pgf),"For a random variable n, its pgf is defined as the expectation of s^n, as a function of s",2.2,
convex hulls,The convex hull of a set of points x is the smallest convex set that contains x,2.2,
risk classes,The formation of different premiums for the same coverage based on each homogeneous group's characteristics.,2.2,
Binomial Distribution,"A random variable has a binomial distribution (with parameters m and q) if it is the number of ""successes"" in a fixed number m of independent random trials, all of which have the same probability q of resulting in ""success."" ",2.2,
binary outcomes,"Outcomes whose unit can take on only two possible states, traditionally labeled as 0 and 1",2.2,
m-convolution,The addition of m independent random variables,2.2,
Poisson Distribution,A discrete probability distribution that expresses the probability of a given number of events occurring in a fixed interval of time or space if these events occur with a known constant rate and independently of the time since the last event,2.2,
Negative Binomial Distribution,The number of successes until we observe the rth failure in independent repetitions of an experiment with binary outcomes,2.2,
overdispersed,The presence of greater variability (statistical dispersion) in a data set than would be expected based on a given statistical model,2.2,
underdispersed,There was less variation in the data than predicted,2.2,
"(a, b, 0) Class","The poisson, binomial and negative binomial distributions",2.3,
maximum likelihood estimator (MLE),The possible value of the parameter for which the chance of observing the data largest,2.4,
local extrema,The largest and smallest value of the function within a given range,2.4,
Central Limit Theorem (CLT),"In some situations, when independent random variables are added, their properly normalized sum tends toward a normal distribution even if the original variables themselves are not normally distributed.",2.4,
Newton's method,A root-finding algorithm which produces successively better approximations to the roots of a real-valued function,2.4,
robust,"Resistant to errors in the results, produced by deviations from assumptions",2.4,
explanatory variables,"In regression, the explanatory variable is the one that is supposed to ""explain"" the other.",2.5,
regression analysis,A set of statistical processes for estimating the relationships among variables,2.5,
homogeneous,Units of exposure that face approximately the same expected frequency and severity of loss.,2.5,
"(a,b,1)","A count distribution with probabilities satisfying p_k/p_{k-1}=a+b/k, for some some constants a and b and k>=2",2.5,
zero truncation,Zero modification of a count distribution such that it assigns zero probability to zero count ,2.5,
degenerate distribution,A deterministic distribution and takes only a single value,2.5,
convex combination,A linear combination of points where all coefficients are non-negative and sum to 1,2.5,
convex function,A real-valued function defined on an interval is called convex if the line segment between any two points on the graph of the function lies above or on the graph.,2.6,
mixture distribution,"The probability distribution of a random variable that is derived from a collection of other random variables as follows: first, a random variable is selected by chance from the collection according to given probabilities of selection, and then the value of the selected random variable is realized",2.6,
chi-square distribution,The chi-squared distribution with k degrees of freedom is the distribution of a sum of the squares of k independent standard normal random variables,2.7,
Goodness of Fit,The goodness of fit of a statistical model describes how well it fits a set of observations.,2.7,
Pearson's chi-square test,A statistical test applied to sets of categorical data to evaluate how likely it is that any observed difference between the sets arose by chance,2.7,
multinomial likelihood,The multinomial distribution models the probability of counts for rolling a k-sided die n times,2.7,
aggregate losses,"Aggregate claims, or total claims observed in the time period",3,
liability insurance,Insurance that compensates an insured for loss due to legal liability towards others,3,
mixture distribution,"A weighted average of other distributions, which may be continuous or discrete",3,
continuous random variable,Random variable which can take infinitely many values in its specified domain,3.1,
raw moment,The kth moment of a random variable x is the average (expected) value of x^k,3.1,
central moment,The kth central moment of a random variable x is the expected value of (x-its mean)^k,3.1,
skewness,"Measure of the symmetry of a distribution, 3rd central moment/standard deviation^3",3.1,
kurtosis,"Measure of the peaked-ness of a distribution, 4th central moment/standard deviation^4",3.1,
expected value,Average,3.1,
exponential distribution,A single parameter continous probability distribution that is defined by its rate parameter,3.1,
independent,Two variables are independent if conditional information given about one variable provides no information regarding the other variable,3.1,
percentile,The pth percentile of a random variable x is the smallest value x_p such that the probability of not exceeding it is p%,3.1,
chi-square distribution,A common distribution used in chi-square tests for determining goodness of fit of observed data to a theorized distribution,3.2,
light tailed distribution,A distribution with thinner tails than the benchmark exponential distribution,3.2,
Pareto distribution,A heavy-tailed and positively skewed distribution with 2 parameters,3.2,
hazard function,"Ratio of the probability density function and the survival function: f(x)/s(x), and represents an instantaneous probability within a small time frame",3.2,
Weibull distribution,A positively skewed continuous distribution with 2 parameters that can have an increasing or decreasing hazard function depending on the shape parameter,3.2,
Generalized Beta distribution of the second kind,A 4-parameter flexible distribution that encompasses many common distributions,3.2,
parametric distributions,Probability distribution defined by a fixed set of parameters,3.3,
transformation,A function or method that turns one distribution into another,3.3,
distribution function technique,A transformation technique that involves finding the cdf of the transformed distribution through its relation with the original cdf,3.3,
change-of-variable technique,A transformation technique that involves finding the pdf of the transformed distribution through its relation with the original pdf using inverse functions,3.3,
moment-generating function technique,A transformation technique that uses moment generating functions properties to determine the mgf of a linear combination of variables,3.3,
lognormal distribution,"A heavy-tailed, positively skewed 2-parameter continuous distribution such that the natural log of the random variable is normally distributed with the same parameter values",3.3,
reliability data,A dataset consisting of failure times for failed units and run times for units still functioning,3.3,
power transformation,A transformation type that involves raising a random variable to a power,3.3,
exponential transformation,A transformation type that involves raising a random variable in the exponent,3.3,
mixing parameters,Proportion weight given to each subpopulation in a mixture,3.3,
heterogeneous population,A dataset where the subpopulations are represented by separate distinct distributions,3.3,
finite mixture,A mixture distribution with a finite k number of subpopulations,3.3,
continuous mixture,"A mixture distribution with an infinite number of subpopulations, where the mixing parameter is itself a continuous distribution",3.3,
conditional distribution,A probability distribution that applies to a subpopulation satisfying the condition,3.3,
unconditional distribution,A probability distribution independent of any another imposed conditions,3.3,
prior distribution,A probability distribution assigned prior to observing additional data,3.3,
scale distribution,A distribution with the property that multiplying all values by a constant leads to the same distribution family with only the scale parameter changed,3.3,
moral hazard,Situation where an insured is more likely to be risk seeking if they do not bear sufficient consequences for a loss,3.4,
payment per loss,Amount insurer pays when a loss occurs and can be 0,3.4,
payment per payment,Amount insurer pays given a payment is needed and is greater than 0,3.4,
left censored,Values below a threshold d are not ignored but converted to 0,3.4,
left truncated,Values below a threshold d are not reported and unknown,3.4,
loss elimination ratio (ler),% decrease of the expected payment by the insurer as a result of the deductible,3.4,
franchise deductible,"Insurer pays nothing for losses below the deductible, but pays the full amount for any loss above the deductible",3.4,
limit of coverage,"Policy limit, or maximum contractual financial obligation of the insurer for a loss",3.4,
group insurance,Insurance provided to groups of people to take advantage of lower administrative costs vs. individual policies,3.4,
growth factor,"Multiplicative factor applied to a distribution to account for the impact of inflation, typically (1+rate)",3.4,
cedent,Party that is transferring the risk to a reinsurer,3.4,
excess of loss coverage,Contract where an insurer pays all claims up to a specified amount and then the reinsurer pays claims in excess of stated reinsurance deductible,3.4,
retention,Maximum amount payable by the primary insurer in a reinsurance arrangement ,3.4,
right censored variable,Values above a threshold u are not ignored but converted to u,3.4,
reinsurance,A transaction where the primary insurer buys insurance from a re-insurer who will cover part of the losses and/or loss adjustment expenses of the primary insurer,3.4,
method of maximum likelihood,Statistical method used to derive the parameter values from data that maximize the probability of observing the data given the parameters,3.5,
grouped data,"Data bucketed into categories with ranges, such as for use in histograms or frequency tables",3.5,
large-sample properties,Asymptotic properties of a distribution as the amount of data increases towards infinity,3.5,
asymptotic variance,Variability of the distribution of an estimator as the amount of data increases towards infinity,3.5,
delta method,Statistical method used to approximate the asymptotic variance for a function based on parameters whose asymptotic variance can be determined,3.5,
log-likelihood function,Natural log of the likelihood function,3.5,
covariance matrix,"Matrix where the (i,j)^th element represents the covariance between the ith and jth random variables",3.5,
complete data,"Data where each individual observation is known, and no values are censored, truncated, or grouped",3.5,
parametric,"Distributional assumptions made on the population from which the data is drawn, with properties defined using parameters.",4.1,
nonparametric,No distributional assumptions are made on the population from which the data is drawn.,4.1,
sampling scheme,How the data is obtained from the population and what data is observed.,4.1,
unbiased,"An estimator that has no bias, that is, the expected value of an estimator equals the parameter being estimated.",4.1,
plug-in principle,The plug-in principle or analog principle of estimation proposes that population parameters be estimated by sample statistics which have the same property in the sample as the parameters do in the population.,4.1,
indicator,"A categorical variable that has only two groups. the numerical values are usually taken to be one to indicate the presence of an attribute, and zero otherwise. another name for a binary variable.",4.1,
empirical distribution function,"The empirical distribution is a non-parametric estimate of the underlying distribution of a random variable. it directly uses the data observations to construct the distribution, with each observed data point in a size-n sample having probability 1/n. ",4.1,
first quartile,The 25th percentile; the number such that approximately 25% of the data is below it.,4.1,
third quartile,The 75th percentile; the number such that approximately 75% of the data is below it.,4.1,
quantile,"The q-th quantile is the point(s) at which the distribution function is equal to q, i.e. the inverse of the cumulative distribution function.",4.1,
smoothed empirical quantile,"A quantile obtained by linear interpolation between two empirical quantiles, i.e. data points.",4.1,
bandwidth,A small positive constant that defines the width of the steps and the degree of smoothing.,4.1,
kernel density estimator,A nonparametric estimator of the density function of a random variable.,4.1,
bias-variance tradeoff,The tradeoff between model simplicity (underfitting; high bias) and flexibility (overfitting; high variance).,4.1,
model diagnostics,Procedures to assess the validity of a model,4.1,
Probability-probability (pp) plot,A plot that compares two models through their cumulative probabilities.,4.1,
Quantile-quantile (qq) plot,A plot that compares two models through their quantiles.,4.1,
goodness of fit statistics,"A measure used to assess how well a statistical model fits the data, usually by summarizing the discrepancy between the observations and the expected values under the model.",4.1,
method of moments,The estimation of population parameters by approximating parametric moments using empirical sample moments.,4.1,
percentile matching,The estimation of population parameters by approximating parametric percentiles using empirical quantiles.,4.1,
percentile,A 100p-th percentile is the number such that 100 times p percent of the data is below it.,4.1,
Gini index,A measure for assessing income inequality. it measures the discrepancy between the income and population distributions and is calculated from the lorenz curve.,4.2,
model selection,The process of selecting a statistical model from a set of candidate models using data.,4.2,
in-sample,A dataset used for analysis and model development. also known as a training dataset.,4.2,
out-of-sample,A dataset used for model validation. also known as a test dataset.,4.2,
cross-validation,"A model validation procedure in which the data sample is partitioned into subsamples, where splits are formed by separately taking each subsample as the out-of-sample dataset.",4.2,
model validation,The process of confirming that the proposed model is appropriate.,4.2,
data-snooping,Repeatedly fitting models to a data set without a prior hypothesis of interest.,4.2,
predictive inference,Preditive inference is the process of using past data observations to predict future observations.,4.2,
likelihood function,"A function of the likeliness of the parameters in a model, given the observed data.",4.3,
ogive estimator,A nonparametric estimator for the distribution function in the presence of grouped data.,4.3,
product-limit estimator,A nonparametric estimator of the survival function in the presence of incomplete data. also known as the kaplan-meier estimator.,4.3,
risk set,The number of observations that are active (not censored) at a specific point.,4.3,
Nelson-Aalen,A nonparametric estimator of the cumulative hazard function in the presence of incomplete data.,4.3,
credibility,An actuarial method of balancing an individual's loss experience and the experience in the overall portfolio to improve ratemaking estimates.,4.4,
Bayesian,A type of statistical inference in which the model parameters and the data are random variables.,4.4,
predictive distribution,"The distribution of new data, conditional on a base set of data, under the bayesian framework.",4.4,
least squares,"A technique for estimating parameters in linear regression. it is a standard approach in regression analysis to the approximate solution of overdetermined systems. in this technique, one determines the parameters that minimize the sum of squared differences between each observation and the corresponding linear combination of explanatory variables.",4.4,
Markov Chain Monte Carlo (MCMC) simulation,The class of numerical methods that use markov chains to generate draws from a posterior distribution.,4.4,
improper prior,A prior distribution in which the sum or integral of the distribution is not finite.,4.4,
confidence interval,"Another term for interval estimate. unlike a point estimate, it gives a range of reliability for approximating a parameter of interest.",4.4,
decision analysis,"Bayesian decision theory is the study of an agent's choices, which is informed by bayesian probability.",4.4,
conjugate distributions,Distributions such that the posterior and the prior come from the same family of distributions.,4.4,
credibility interval,A summary of the posterior distribution of parameters under the bayesian framework.,4.4,
prior distribution,The distribution of the parameters prior to observing data under the bayesian framework.,4.4,
exposure,"A measure of the rating units for which rates are applied to determine the premium. for example, exposures may be measured on a per unit basis (e.g. a family with auto insurance under one contract may have an exposure of 2 cars) or per $1,000 of value (e.g. homeowners insurance).",5.1,
inflation,Inflation is a sustained increase in the general price level of goods and services over a period of time.,5.1,
business line,,5.1,
individual risk model,A modeling approach for aggregate losses in which the loss from each individual contract is considered.,5.1,
collective risk model,A modeling approach for aggregate losses in which the aggregate loss is represented in terms of a frequency distribution and a severity distribution.,5.1,
coverage,Insurance coverage is the amount of risk or liability that is covered for an individual or entity by an insurance policy.,5.1,
frequency distribution,The random number of claims that occur under the collective risk model.,5.1,
severity distribution,The randomly distributed amount of each loss under the collective risk model.,5.1,
central limit theorem,"Given certain conditions, the arithmetic mean of a large number of replications of independent random variables, each with a finite mean and variance, will be approximately normally distributed, regardless of the underlying distribution.",5.2,
term life insurance,"A term life insurance policy is payable only if death of the insured occurs within a specified time, such as 5 or 10 years, or before a specified age.",5.2,
pure endowment,"A pure endowment is an insurance policy that is payable at the end of the policy period if the insured is still alive. if the insured has died, there is nothing paid in the form of benefits.",5.2,
support,"The set of all outcomes for a random variable following some distribution. for example, exponentially distributed random variable x has support x>0.",5.2,
convolution,The convolution of probability distributions is the distribution corresponding to the addition of independent random variables.,5.2,
law of iterated expectations,"A decomposition of the expected value of a random variable into conditional components. specifically, for random variables x and y, e(x) = e[e(x|y)].",5.3,
compound distribution,"A random variable follows a compound distribution if it is parameterized and contains at least one parameter that is itself a random variable. for example, the tweedie distribution is a compound distribution.",5.3,
Tweedie distribution,"A compound distribution that is a poisson sum of gamma random variables. because it can accommodate a discrete probability mass at zero and a continuous positive component, it is suitable for modeling aggregate insurance claims.",5.3,
shape parameter,A numerical parameter of a parametric distribution affecting the shape of a distribution rather than simply shifting it (as a location parameter does) or stretching/shrinking it (as a scale parameter does).,5.3,
scale parameter,"A numerical parameter of a parametric distribution that stretches/shrinks the distribution without changing its location or shape. the larger the scale parameter, the more spread out the distribution. the scale parameter is also the reciprocal of the rate parameter. for example, the normal distribution has scale parameter \sigma.",5.3,
exponential dispersion,A set of distributions that represents a generalisation of the natural exponential family and also plays an important role in generalized linear models.,5.3,
generalized linear models,"Commonly known by the acronym glm. an extension of the linear regression model where the dependent variable is a member of the linear exponential family. glm encompasses linear, binary, count, and long-tailed, regressions all as special cases.",5.3,
exponential family,"A family of parametric distributions that are practical for modeling the underlying response variable in generalized linear models. this family includes the normal, bernoulli, poisson, and tweedie distributions as special cases, among many others.",5.3,
Monte Carlo simulation,A computerized statistical model that simulates the effects of various types of uncertainty.,5.4,
empirical distribution,"The empirical distribution is a non-parametric estimate of the underlying distribution of a random variable. it directly uses the data observations to construct the distribution, with each observed data point in a size-n sample having probability 1/n.",5.4,
converge,"A type of stochastic convergence for a sequence of random variables x_1,…, x_n that approaches some other distribution as n approaches \infty.",5.4,
policy limits,A policy limit is the maximum value covered by a policy.,5.5,
ground-up loss,"The total amount of loss sustained before policy adjustments are made (i.e. before deductions are applied for coinsurance, deductibles, and/or policy limits.)",5.5,
per-loss basis,"Due to policy modifications (e.g. deductibles), not all losses that occur result in payment. the per-loss basis considers every loss that occurs.",5.5,
per-payment basis,"Due to policy modifications (e.g. deductibles), not all losses that occur result in payment. the per-payment basis which considers only the losses that result in some payment to the insured.",5.5,
memoryless,"The memoryless property means that a given probability distribution is independent of its history and what has already elapsed. specifically, random variable x is memoryless if pr(x > s+t | x >= s) = pr(x > t). note that it does not mean x > s+t and x >= s are independent events.",5.5,
central limit theorem,The sample mean and sample sum of a random sample of n from a population will converge to a normal curve as the sample size n grows,6.1,
simulations,"A computer generation of various hypothetical conditions and outputs, based on the model structure provided",6.1,
linear congruential generator,Algorithm that yields pseudo-randomized numbers calculated using a linear recursive relationship and a starting seed value,6.1,
pseudo-random numbers,Values that appear random but can be replicated by formula,6.1,
inverse transform method,"Samples a uniform number between 0 and 1 to represent the randomly selected percentile, then uses the inverse of the cumulative density function of the desired distribution to simulate from in order to find the simulated value from the desired distribution",6.1,
quantile function,"Inverse function for the cumulative density function which takes a percentile value in [0,1] as the input, and outputs the corresponding value in the distribution",6.1,
greatest lower bound,Largest value that is less than or equal to a specified subset of values/elements,6.1,
universal life insurance,"Type of cash value life insurance where the policy's cash value is the excess of premium payments over the cost of insurance, accumulated with interest, with adjustable premiums and coverage over time",6.1,
variable life insurance,Type of life insurance whose face value and coverage term can vary depending upon the performance of underlying invested securities,6.1,
sampling variability,How much an estimate can vary between samples,6.1,
Cauchy distribution,"A continuous distribution that represents the distribution of the ratio of two independent normally random variables, where the denominator distribution has mean zero",6.1,
Kolmogorov-Smirnov test,A nonparametric statistical test used to determine if a data sample could come from a hypothesized continuous probability distribution,6.1,
bootstrap,A method of sampling with replacement from the original dataset to create additional simulated datasets of the same size as the original,6.2,
nonparametric approach,A statistical method where no assumption is made about the distribution of the population,6.2,
parametric approach,A statistical method where a prior assumption is made about the distribution or model form,6.2,
bias,The difference between the expected value of an estimator and the parameter being estimated. bias is an estimation error that does not become smaller as one observes larger sample sizes.,6.2,
bias-corrected estimator,"If an estimator is known to be consistently biased in a manner, it can be corrected using a factor to be come less biased or unbiased",6.2,
Jensen inequality,"For a convex function f(x), f(expected value of x) <= expected value of f(x)",6.2,
natural estimator,An estimator that uses the sample moments as the estimators for the population,6.2,
percentile bootstrap interval,"Confidence interval for the parameter estimates determined using the actual percentile results from the bootstrap sampling approach, as every bootstrap sample has an associated parameter estimate(s) that can be ranked against the others",6.2,
k-Fold Cross-Validation,"A type of validation method where the data is randomly split into k groups, and each of the k groups is held out as a test dataset in turn, while the other k-1 gropus are used for distribution or model fitting, with the process repeated k times in total",6.3,
leave-one-out cross validation,"A special case of k-fold cross validation, where each single data point gets a turn in being the lone hold-out test data point, and n separate models in total are built and tested",6.3,
jackknife statistics,"To calculate an estimator, leave out each observation in turn, calculate the sample estimator statistic each time, and average over the n separate estimates",6.3,
accept-reject mechanism,"A sampling method that is used where the random sample is discarded if not within a certain pre-specified range [a, b] and is commonly used when the traditional inverse transform method cannot be easily used",6.4,
importance sampling mechanism,Type of sampling method where values in the region of interest can be over-sampled or values outside the region of interest can be under-sampled,6.4,
ergodic theorem,Ergodic theory studies the behavior of a dynamical system when it is allowed to run for an extended time,6.5,
Markov Process,"A stochastic (time dependent) process that satisfies memorylessness, meaning future predictions of the process can be made solely based on its present state and not the historical path",6.5,
invariant measure,Any mathematical measure that is preserved by a function (the mean is an example),6.5,
composants,"Component (smaller, self-contained part of larger entity)",6.5,
Hastings Metropolis,"A markov chain monte carlo (mcmc) method for random sampling from a probability distribution where values are iteratively generated, with the distribution of the next sample dependent only on the current sample value, and at each iteration, the candidate sample can be either accepted or rejected",6.5,
Gibbs sampler,A markov chain monte carlo (mcmc) method to obtain a sequence of random samples from a specified multivariate continuous probability distribution,6.5,
premium,Amount of money an insurer charges to provide the coverage described in the policy,7.1,
ratemaking,"Process used by insurers to calculate insurance rates, which drive insurance premiums",7.1,
